Security Category	Endpoint	Method	Vulnerability Test	Test Description	Payload/Attack Vector	Expected Result	Security Tool	RESULT
Authentication	/api/login	POST	Login Endpoint Availability	Verify login endpoint exists and processes credentials	{"username":"admin","password":"any"}	Endpoint available and handles auth flow	Code Review	PASS
Authentication	/api/login	POST	Password Hashing	Verify passwords are hashed before comparison/storage	Observe password handling path	Hashed password comparison only	Code Review	PASS
Authentication	/api/login	POST	Brute Force Lockout	Check repeated failed logins trigger account lock	3+ invalid password attempts	Account locks after threshold	Code Review	PASS
Authentication	/api/login	POST	First Login Flow	Verify temporary/default password first-login path exists	Default password login	First-login branch enforced	Code Review	PASS
Authentication	/api/forgot-password	POST	Forgot Password Endpoint	Verify password reset request endpoint exists	{"email":"user@company.com"}	Reset flow endpoint available	Code Review	PASS
Authentication	/api/reset-password	POST	Reset Token Validation	Verify reset token is validated before password change	{"token":"jwt","new_password":"New@123"}	Invalid token rejected	Code Review	PASS
Authentication	/api/reset-password	POST	Reset Token Expiry	Verify reset token contains expiration	Expired JWT token	Expired token rejected	Code Review	PASS
Authentication	/api/forgot-password	POST	User Enumeration	Check forgot-password response does not reveal account existence	Known vs unknown email	Generic same response for both	Code Review	FAIL
Authentication	/api/reset-password	POST	Password Strength Enforcement	Check minimum complexity/strength rules on password reset	Weak password like 123456	Weak password rejected	Code Review	FAIL
Authentication	/api/reset-password	POST	JWT Verification	Verify JWT decode/verification logic exists	Tampered token	Invalid signature rejected	Code Review	PASS
Session Management	Multiple protected APIs	MIDDLEWARE	Force Logout Middleware	Verify middleware can block requests after forced logout	Bearer token after logout policy update	Request blocked	Code Review	PASS
Session Management	/api/auth/force-logout	POST	Force Logout Authorization	Check force-logout action is protected by admin auth	Unauthenticated POST	403/401 denied	Code Review	FAIL
Session Management	/api/auth/session-policy	GET	Session Policy Authorization	Check session policy endpoint is protected	Unauthenticated GET	403/401 denied	Code Review	FAIL
Session Management	/api/logout	POST	Logout Endpoint Present	Check dedicated logout route exists	POST to logout	Logout route available	Code Review	NOT IN APP
Session Management	Cookie-based session	N/A	Cookie Security Flags	Check HttpOnly/Secure/SameSite cookie usage	Inspect session cookies	Secure cookie flags present	Code Review	NOT IN APP
Session Management	/api/auth/force-logout	POST	Concurrent Session Invalidation	Verify forced logout terminates active sessions	Trigger force logout during active session	Active session invalidated	Runtime Test	RUNTIME VERIFY
Authentication	/api/login	POST	Username Enumeration	Check login responses do not reveal valid usernames	Unknown user vs wrong password	Generic same response	Code Review	FAIL
Authorization	Decorator/helper	N/A	Admin Guard Presence	Verify admin-only helper exists	Inspect route guards	Admin helper available	Code Review	PASS
Authorization	/api/admin/query	POST	Admin Endpoint Protection	Verify admin query route uses admin guard	Non-admin request	403 forbidden	Code Review	PASS
Authorization	/api/employees	GET	Employee List Access Control	Check employee list requires authenticated/authorized caller	Unauthenticated GET	403/401 denied	Code Review	FAIL
Authorization	/api/employees	POST	Employee Create Access Control	Check employee create requires authenticated/authorized caller	Unauthenticated POST	403/401 denied	Code Review	FAIL
Authorization	/api/employees/<employee_id>	PUT	Employee Update Access Control	Check employee update requires authenticated/authorized caller	Unauthenticated PUT	403/401 denied	Code Review	FAIL
Authorization	/api/employees/<employee_id>	DELETE	Employee Delete Access Control	Check employee delete requires authenticated/authorized caller	Unauthenticated DELETE	403/401 denied	Code Review	FAIL
Authorization	/api/leaves/approve/<leave_id>	POST	Leave Approval Authorization	Check leave approval is admin protected	Non-admin approval request	403 forbidden	Code Review	FAIL
Authorization	/api/leaves/reject/<leave_id>	POST	Leave Reject Authorization	Check leave reject is admin protected	Non-admin rejection request	403 forbidden	Code Review	FAIL
Authorization	/api/attendance/manual-edit	POST	Manual Attendance Edit Authorization	Check manual attendance edit is admin protected	Non-admin edit request	403 forbidden	Code Review	FAIL
Authorization	/api/deleted-employees/restore	POST	Deleted Employee Restore Authorization	Check restore is admin protected	Non-admin restore request	403 forbidden	Code Review	FAIL
Authorization	/api/login-accounts	CRUD	Login Account CRUD Protection	Check login-account routes are admin protected	Non-admin CRUD request	403 forbidden	Code Review	FAIL
Authorization	/chat/send-text	POST	Chat Send Text Membership	Check only conversation members can send text	Non-member sender_id	403 forbidden	Code Review	PASS
Authorization	/chat/send-files	POST	Chat File Send Membership	Check only conversation members can send files	Non-member sender_id	403 forbidden	Code Review	PASS
Authorization	/chat/group/<conversation_id>/members/add	POST	Add Group Members Admin Control	Check only group admins can add members	Non-admin sender_id	403 forbidden	Code Review	PASS
Authorization	/chat/group/<conversation_id>/members/remove	POST/DELETE	Bulk Remove Members Admin Control	Check only group admins can remove members in bulk	Non-admin sender_id	403 forbidden	Code Review	PASS
Authorization	/chat/group/<conversation_id>/members/<user_id>	DELETE	Single Remove Member Admin Enforcement	Check only group admins can remove a single member	Non-admin delete request	403 forbidden	Code Review	FAIL
Authorization	/chat/group/<conversation_id>/icon	POST	Group Icon Update Admin Control	Check only group admins can update icon	Non-admin actor_id	403 forbidden	Code Review	PASS
Authorization	/chat/file-download/<file_id>	GET	Attachment Download Authorization	Check file binary retrieval requires authorization	Known file_id	403/401 denied	Code Review	FAIL
Authorization	Multiple employee/leave endpoints	GET/POST	Horizontal Access Control	Check users cannot read/modify another user's data by changing IDs	Swap employee_id in request	Access denied	Code Review	FAIL
Input Validation	Multiple OData-backed endpoints	GET/POST	OData Quote Escaping	Check single quotes are escaped in filters	Input containing '	Query safely escaped	Code Review	PASS
Input Validation	/api/employees	POST	Duplicate Email Validation	Check duplicate email is rejected	Existing email	400 validation error	Code Review	PASS
Input Validation	/api/checkin,/api/checkout,/api/attendance/manual-edit	POST	Required Field Validation	Check required fields are validated	Missing required fields	400 validation error	Code Review	PASS
Input Validation	/api/attendance/manual-edit	POST	Attendance Code Allowlist	Check manual edit code is restricted to valid set	code=XYZ	400 validation error	Code Review	PASS
Input Validation	/api/leaves/approve/<leave_id>	POST	Approval Comment Length	Check approval comments are bounded	Very long comment	Input truncated/rejected safely	Code Review	PASS
Input Validation	/chat/send-files	POST	Basic Upload Validation	Check required multipart fields exist	Missing conversation_id/sender_id/files	400 validation error	Code Review	PASS
Input Validation	Multiple endpoints	GET/POST	Injection Resistance	Check app resists malformed injection probes	Special characters and crafted payloads	No injection impact	Runtime Test	RUNTIME VERIFY
Input Validation	/api/employees and related forms	POST/PUT	Stored XSS in Employee Fields	Check employee text fields are sanitized/encoded	<script>alert(1)</script>	Stored script neutralized	Code Review	FAIL
Input Validation	/chat/send-text	POST	Stored XSS in Chat Text	Check chat text is sanitized/encoded	{"message_text":"<script>alert(1)</script>"}	Stored script neutralized	Code Review	FAIL
Input Validation	/chat/send-files	POST	Malicious File Type Filter	Check dangerous file types are blocked	.exe/.js upload	Dangerous file rejected	Code Review	FAIL
Input Validation	/chat/send-files	POST	File Size Limit	Check upload size cap is enforced	Oversized file	413/validation error	Code Review	FAIL
Input Validation	Exports / user-controlled text	N/A	CSV Formula Injection	Check exported fields neutralize spreadsheet formulas	=HYPERLINK(...)	Formula-neutralized output	Code Review	FAIL
Input Validation	/apply_leave or leave flows	POST	Strict Date Validation	Check invalid date combinations are rejected	Invalid calendar date	400 validation error	Runtime Test	RUNTIME VERIFY
Input Validation	/api/checkin	POST	Coordinate Range Validation	Check invalid latitude/longitude are rejected	latitude=999	Invalid coordinates rejected	Code Review	FAIL
API Security	/api/*	CORS	Origin Restriction	Check CORS is limited to trusted frontend origins	Cross-origin browser request	Only trusted origins allowed	Code Review	FAIL
API Security	/api/*	CORS	Authorization Header Support	Check Authorization header is allowed by CORS	Bearer request from frontend	Authorization header allowed	Code Review	PASS
API Security	/api/info	GET	API Info Exposure	Check info endpoint exists without exposing secrets	GET /api/info	Informational only	Code Review	PASS
API Security	/ping	GET	Ping Minimal Exposure	Check ping/health-style endpoint is minimal	GET /ping	Minimal response only	Code Review	PASS
API Security	Multiple error paths	GET/POST	Verbose Error Leakage	Check stack traces/raw internals are not returned to clients	Trigger exception	Generic error only	Code Review	FAIL
API Security	/api/employees	GET	Employee Data Exposure	Check employee list does not expose password secrets	GET employee list	No password/hash fields exposed	Code Review	PASS
API Security	/api/login-accounts	GET	Login Account Data Exposure	Check login account listing excludes password hash	GET login accounts	No password/hash field exposed	Code Review	PASS
API Security	/chat/file-download/<file_id>	GET	Path Traversal Resistance	Check download is not filesystem-path based	../ traversal payload	Traversal blocked	Code Review	PASS
API Security	/api/backup,/api/logs	GET	Sensitive Debug Endpoints	Check backup/log endpoints are absent	Probe generic admin/debug URLs	Endpoint absent	Code Review	NOT IN APP
Business Logic	/api/checkin	POST	Double Check-in Handling	Check repeated check-in is idempotent/safe	Two checkins same day	No duplicate broken state	Code Review	PASS
Business Logic	/api/checkout	POST	Checkout Recovery	Check checkout can recover active session safely	Checkout after restart/recovery	Session closed correctly	Code Review	PASS
Business Logic	Leave workflow	POST	Leave Balance Enforcement	Check leave apply blocks invalid balance usage	Apply beyond balance	Request rejected	Runtime Test	RUNTIME VERIFY
Business Logic	/api/leaves/approve/<leave_id>,/api/leaves/reject/<leave_id>	POST	Self Approval Prevention	Check users cannot self-approve/self-reject by spoofing approver id	approved_by/rejected_by=own id	Self-approval blocked	Code Review	FAIL
Business Logic	/api/attendance/manual-edit	POST	Future Attendance Edit Block	Check future dates cannot be manually edited	Future date payload	Future edit rejected	Code Review	FAIL
Business Logic	/api/employees,/api/login-accounts	POST	Privilege Creation Restriction	Check arbitrary user/login creation is admin-only	Unauthorized create request	403 forbidden	Code Review	FAIL
Business Logic	/api/deleted-employees/restore	POST	Restore Cache Invalidation	Check restore refreshes employee cache	Restore deleted employee	Cache invalidated	Code Review	PASS
Chat/File Handling	/chat/send-text	POST	Conversation Membership Enforcement	Check only members can send chat text	Non-member sender	403 forbidden	Code Review	PASS
Chat/File Handling	/chat/send-files	POST	File Send Membership Enforcement	Check only members can upload/send files	Non-member sender	403 forbidden	Code Review	PASS
